meta_book,meta_bookAbbrev,meta_bookIndex,meta_chapterIndex,meta_verseIndex,title,id,url,text
Hebrews,hb,57,2,3,Hebrews Chapter 3 Verse 4,hb_3_4,https://en.wikipedia.org/wiki/Bible,For every house has a builder; but the builder of all things is God.
Hebrews,hb,57,2,4,Hebrews Chapter 3 Verse 5,hb_3_5,https://en.wikipedia.org/wiki/Bible,"And Moses certainly kept faith as a servant, in all his house, and as a witness of those things which were to be said later;"
Hebrews,hb,57,2,5,Hebrews Chapter 3 Verse 6,hb_3_6,https://en.wikipedia.org/wiki/Bible,"But Christ as a son, over his house; whose house are we, if we keep our hearts fixed in the glad and certain hope till the end."
Hebrews,hb,57,2,6,Hebrews Chapter 3 Verse 7,hb_3_7,https://en.wikipedia.org/wiki/Bible,"And so, as the Holy Spirit says, Today if you let his voice come to your ears,"
Hebrews,hb,57,2,7,Hebrews Chapter 3 Verse 8,hb_3_8,https://en.wikipedia.org/wiki/Bible,"Be not hard of heart, as when you made me angry, on the day of testing in the waste land,"
Hebrews,hb,57,2,8,Hebrews Chapter 3 Verse 9,hb_3_9,https://en.wikipedia.org/wiki/Bible,"When your fathers put me to the test, and saw my works for forty years."
Hebrews,hb,57,2,9,Hebrews Chapter 3 Verse 10,hb_3_10,https://en.wikipedia.org/wiki/Bible,"So that I was angry with this generation, and I said, Their hearts are in error at all times, and they have no knowledge of my ways;"
Hebrews,hb,57,2,10,Hebrews Chapter 3 Verse 11,hb_3_11,https://en.wikipedia.org/wiki/Bible,"And being angry I made an oath, saying, They may not come into my rest."
Hebrews,hb,57,2,11,Hebrews Chapter 3 Verse 12,hb_3_12,https://en.wikipedia.org/wiki/Bible,"My brothers, take care that there is not by chance in any one of you an evil heart without belief, turning away from the living God:"
Hebrews,hb,57,2,12,Hebrews Chapter 3 Verse 13,hb_3_13,https://en.wikipedia.org/wiki/Bible,But give comfort to one another every day as long as it is still Today; so that no one among you may be made hard by the deceit of sin:
Hebrews,hb,57,2,13,Hebrews Chapter 3 Verse 14,hb_3_14,https://en.wikipedia.org/wiki/Bible,"For if we keep the substance of the faith which we had at the start, even till the end, we have a part with Christ;"
Hebrews,hb,57,2,14,Hebrews Chapter 3 Verse 15,hb_3_15,https://en.wikipedia.org/wiki/Bible,"As it is said, Today if you will let his voice come to your ears, be not hard of heart, as when you made him angry."
Hebrews,hb,57,2,15,Hebrews Chapter 3 Verse 16,hb_3_16,https://en.wikipedia.org/wiki/Bible,Who made him angry when his voice came to them? was it not all those who came out of Egypt with Moses?
Hebrews,hb,57,2,16,Hebrews Chapter 3 Verse 17,hb_3_17,https://en.wikipedia.org/wiki/Bible,"And with whom was he angry for forty years? was it not with those who did evil, who came to their deaths in the waste land?"
Hebrews,hb,57,2,17,Hebrews Chapter 3 Verse 18,hb_3_18,https://en.wikipedia.org/wiki/Bible,And to whom did he make an oath that they might not come into his rest? was it not to those who went against his orders?
Hebrews,hb,57,2,18,Hebrews Chapter 3 Verse 19,hb_3_19,https://en.wikipedia.org/wiki/Bible,So we see that they were not able to go in because they had no belief.
Hebrews,hb,57,3,0,Hebrews Chapter 4 Verse 1,hb_4_1,https://en.wikipedia.org/wiki/Bible,"Let us then, though we still have God's word that we may come into his rest, go in fear that some of you may be unable to do so."
Hebrews,hb,57,3,1,Hebrews Chapter 4 Verse 2,hb_4_2,https://en.wikipedia.org/wiki/Bible,"And, truly, the good news came to us, even as it did to them; but the hearing of the word did them no good, because they were not united in faith with the true hearers."
Hebrews,hb,57,3,2,Hebrews Chapter 4 Verse 3,hb_4_3,https://en.wikipedia.org/wiki/Bible,"For those of us who have belief come into his rest; even as he has said, As I said in my oath when I was angry, They may not come into my rest: though the works were done from the time of the making of the world."
Hebrews,hb,57,3,3,Hebrews Chapter 4 Verse 4,hb_4_4,https://en.wikipedia.org/wiki/Bible,"For in one place he has said of the seventh day, And God had rest from all his works on the seventh day;"
Hebrews,hb,57,3,4,Hebrews Chapter 4 Verse 5,hb_4_5,https://en.wikipedia.org/wiki/Bible,"And in the same place he says again, They will not come into my rest."
Hebrews,hb,57,3,5,Hebrews Chapter 4 Verse 6,hb_4_6,https://en.wikipedia.org/wiki/Bible,"So that as it is clear that some have to go in, and that the first hearers of the good news were not able to go in because they went against God's orders,"
Hebrews,hb,57,3,6,Hebrews Chapter 4 Verse 7,hb_4_7,https://en.wikipedia.org/wiki/Bible,"After a long time, again naming a certain day, he says in David, Today (as he had said before), Today if you will let his voice come to your ears, be not hard of heart,"
Hebrews,hb,57,3,7,Hebrews Chapter 4 Verse 8,hb_4_8,https://en.wikipedia.org/wiki/Bible,"For if Joshua had given them rest, he would not have said anything about another day."
Hebrews,hb,57,3,8,Hebrews Chapter 4 Verse 9,hb_4_9,https://en.wikipedia.org/wiki/Bible,So that there is still a Sabbath-keeping for the people of God.
Hebrews,hb,57,3,9,Hebrews Chapter 4 Verse 10,hb_4_10,https://en.wikipedia.org/wiki/Bible,"For the man who comes into his rest has had rest from his works, as God did from his."
Hebrews,hb,57,3,10,Hebrews Chapter 4 Verse 11,hb_4_11,https://en.wikipedia.org/wiki/Bible,"Because of this, let us have a strong desire to come into that rest, and let no one go after the example of those who went against God's orders."
Hebrews,hb,57,3,11,Hebrews Chapter 4 Verse 12,hb_4_12,https://en.wikipedia.org/wiki/Bible,"For the word of God is living and full of power, and is sharper than any two-edged sword, cutting through and making a division even of the soul and the spirit, the bones and the muscles, and quick to see the thoughts and purposes of the heart."
Hebrews,hb,57,3,12,Hebrews Chapter 4 Verse 13,hb_4_13,https://en.wikipedia.org/wiki/Bible,"And there is nothing made which is not completely clear to him; there is nothing covered, but all things are open to the eyes of him with whom we have to do."
Hebrews,hb,57,3,13,Hebrews Chapter 4 Verse 14,hb_4_14,https://en.wikipedia.org/wiki/Bible,"Having then a great high priest, who has made his way through the heavens, even Jesus the Son of God, let us be strong in our faith."
Hebrews,hb,57,3,14,Hebrews Chapter 4 Verse 15,hb_4_15,https://en.wikipedia.org/wiki/Bible,"For we have not a high priest who is not able to be touched by the feelings of our feeble flesh; but we have one who has been tested in all points as we ourselves are tested, but without sin."
