meta_book,meta_bookAbbrev,meta_bookIndex,meta_chapterIndex,meta_verseIndex,title,id,url,text
2 Kings,2kgs,11,16,16,2 Kings Chapter 17 Verse 17,2kgs_17_17,https://en.wikipedia.org/wiki/Bible,"And they made their sons and their daughters go through the fire, and they made use of secret arts and unnatural powers, and gave themselves up to doing evil in the eyes of the Lord, till he was moved to wrath."
2 Kings,2kgs,11,16,17,2 Kings Chapter 17 Verse 18,2kgs_17_18,https://en.wikipedia.org/wiki/Bible,"So the Lord was very angry with Israel, and his face was turned away from them: only the tribe of Judah kept its place."
2 Kings,2kgs,11,16,18,2 Kings Chapter 17 Verse 19,2kgs_17_19,https://en.wikipedia.org/wiki/Bible,"(But even Judah did not keep the orders of the Lord their God, but were guided by the rules which Israel had made."
2 Kings,2kgs,11,16,19,2 Kings Chapter 17 Verse 20,2kgs_17_20,https://en.wikipedia.org/wiki/Bible,"So the Lord would have nothing to do with all the offspring of Israel, and sent trouble on them, and gave them up into the hands of their attackers, till he had sent them away from before his face.)"
2 Kings,2kgs,11,16,20,2 Kings Chapter 17 Verse 21,2kgs_17_21,https://en.wikipedia.org/wiki/Bible,"For Israel was broken off from the family of David, and they made Jeroboam, the son of Nebat, king, who, driving them away from the laws of the Lord, made them do a great sin."
2 Kings,2kgs,11,16,21,2 Kings Chapter 17 Verse 22,2kgs_17_22,https://en.wikipedia.org/wiki/Bible,And the children of Israel went on with all the sins which Jeroboam did; they did not keep themselves from them;
2 Kings,2kgs,11,16,22,2 Kings Chapter 17 Verse 23,2kgs_17_23,https://en.wikipedia.org/wiki/Bible,"Till the Lord put Israel away from before his face, as he had said by all his servants the prophets. So Israel was taken away from their land to Assyria, to this day."
2 Kings,2kgs,11,16,23,2 Kings Chapter 17 Verse 24,2kgs_17_24,https://en.wikipedia.org/wiki/Bible,"Then the king of Assyria took men from Babylon and from Cuthah and Avva and Hamath and Sepharvaim, and put them in the towns of Samaria in place of the children of Israel; so they got Samaria for their heritage, living in its towns."
2 Kings,2kgs,11,16,24,2 Kings Chapter 17 Verse 25,2kgs_17_25,https://en.wikipedia.org/wiki/Bible,"Now when first they were living there they did not give worship to the Lord. So the Lord sent lions among them, causing the death of some of them."
2 Kings,2kgs,11,16,25,2 Kings Chapter 17 Verse 26,2kgs_17_26,https://en.wikipedia.org/wiki/Bible,"So they said to the king of Assyria, The nations whom you have taken as prisoners and put in the towns of Samaria, have no knowledge of the way of the god of the land: so he has sent lions among them, causing their death, because they have no knowledge of his way."
2 Kings,2kgs,11,16,26,2 Kings Chapter 17 Verse 27,2kgs_17_27,https://en.wikipedia.org/wiki/Bible,"Then the king of Assyria gave orders, saying, Send there one of the priests whom you took away, and let him be living there and teaching the people the way of the god of the land."
2 Kings,2kgs,11,16,27,2 Kings Chapter 17 Verse 28,2kgs_17_28,https://en.wikipedia.org/wiki/Bible,"So one of the priests whom they had taken away as a prisoner from Samaria came back, and, living in Beth-el, became their teacher in the worship of the Lord."
2 Kings,2kgs,11,16,28,2 Kings Chapter 17 Verse 29,2kgs_17_29,https://en.wikipedia.org/wiki/Bible,"And every nation made gods for themselves, and put them in the houses of the high places which the Samaritans had made, every nation in the towns where they were living."
2 Kings,2kgs,11,16,29,2 Kings Chapter 17 Verse 30,2kgs_17_30,https://en.wikipedia.org/wiki/Bible,"The men of Babylon made Succoth-benoth, and the men of Cuth made Nergal, and the men of Hamath made Ashima,"
2 Kings,2kgs,11,16,30,2 Kings Chapter 17 Verse 31,2kgs_17_31,https://en.wikipedia.org/wiki/Bible,"The Avvites made Nibhaz and Tartak, and the Sepharvites gave their children to be burned in the fire to Adrammelech and Anammelech, the gods of Sepharvaim."
2 Kings,2kgs,11,16,31,2 Kings Chapter 17 Verse 32,2kgs_17_32,https://en.wikipedia.org/wiki/Bible,"So they went on worshipping the Lord, and made for themselves, from among all the people, priests for the high places, to make offerings for them in the houses of the high places."
2 Kings,2kgs,11,16,32,2 Kings Chapter 17 Verse 33,2kgs_17_33,https://en.wikipedia.org/wiki/Bible,"They gave worship to the Lord, but they gave honour to their gods like the nations did from whom they had been taken as prisoners."
2 Kings,2kgs,11,16,33,2 Kings Chapter 17 Verse 34,2kgs_17_34,https://en.wikipedia.org/wiki/Bible,"So to this day they go on in their old ways, not worshipping the Lord or keeping his orders or his ways or the law and the rule which the Lord gave to the children of Jacob, to whom he gave the name Israel;"
2 Kings,2kgs,11,16,34,2 Kings Chapter 17 Verse 35,2kgs_17_35,https://en.wikipedia.org/wiki/Bible,"And the Lord made an agreement with them and gave them orders, saying, You are to have no other gods; you are not to give worship to them or be their servants or make them offerings:"
2 Kings,2kgs,11,16,35,2 Kings Chapter 17 Verse 36,2kgs_17_36,https://en.wikipedia.org/wiki/Bible,"But the Lord, who took you out of the land of Egypt with his great power and his outstretched arm, he is your God, to whom you are to give worship and make offerings:"
2 Kings,2kgs,11,16,36,2 Kings Chapter 17 Verse 37,2kgs_17_37,https://en.wikipedia.org/wiki/Bible,"And the rules and the orders and the law which he put in writing for you, you are to keep and do for ever; you are to have no other gods."
2 Kings,2kgs,11,16,37,2 Kings Chapter 17 Verse 38,2kgs_17_38,https://en.wikipedia.org/wiki/Bible,And you are to keep in memory the agreement which I have made with you; and you are to have no other gods.
2 Kings,2kgs,11,16,38,2 Kings Chapter 17 Verse 39,2kgs_17_39,https://en.wikipedia.org/wiki/Bible,And you are to give worship to the Lord your God; for it is he who will give you salvation from the hands of all who are against you.
2 Kings,2kgs,11,16,39,2 Kings Chapter 17 Verse 40,2kgs_17_40,https://en.wikipedia.org/wiki/Bible,"But they gave no attention, but went on in their old way."
2 Kings,2kgs,11,16,40,2 Kings Chapter 17 Verse 41,2kgs_17_41,https://en.wikipedia.org/wiki/Bible,"So these nations, worshipping the Lord, still were servants to the images they had made; their children and their children's children did the same; as their fathers did, so do they, to this day."
2 Kings,2kgs,11,17,0,2 Kings Chapter 18 Verse 1,2kgs_18_1,https://en.wikipedia.org/wiki/Bible,"Now in the third year of Hoshea, son of Elah, king of Israel, Hezekiah, the son of Ahaz, became king of Judah."
2 Kings,2kgs,11,17,1,2 Kings Chapter 18 Verse 2,2kgs_18_2,https://en.wikipedia.org/wiki/Bible,"He was twenty-five years old when he became king, ruling in Jerusalem for twenty-nine years; his mother's name was Abi, the daughter of Zechariah."
2 Kings,2kgs,11,17,2,2 Kings Chapter 18 Verse 3,2kgs_18_3,https://en.wikipedia.org/wiki/Bible,He did what was right in the eyes of the Lord as David his father had done.
2 Kings,2kgs,11,17,3,2 Kings Chapter 18 Verse 4,2kgs_18_4,https://en.wikipedia.org/wiki/Bible,"He had the high places taken away, and the stone pillars broken to bits, and the Asherah cut down; and the brass snake which Moses had made was crushed to powder at his order, because in those days the children of Israel had offerings burned before it, and he gave it the name Nehushtan."
2 Kings,2kgs,11,17,4,2 Kings Chapter 18 Verse 5,2kgs_18_5,https://en.wikipedia.org/wiki/Bible,"He had faith in the Lord, the God of Israel; so that there was no one like him among all the kings of Judah who were before him."
2 Kings,2kgs,11,17,5,2 Kings Chapter 18 Verse 6,2kgs_18_6,https://en.wikipedia.org/wiki/Bible,"For his heart was fixed on the Lord, not turning from his ways, and he did his orders which the Lord gave to Moses."
2 Kings,2kgs,11,17,6,2 Kings Chapter 18 Verse 7,2kgs_18_7,https://en.wikipedia.org/wiki/Bible,And the Lord was with him; he did well in all his undertakings: and he took up arms against the king of Assyria and was his servant no longer.
2 Kings,2kgs,11,17,7,2 Kings Chapter 18 Verse 8,2kgs_18_8,https://en.wikipedia.org/wiki/Bible,"He overcame the Philistines as far as Gaza and its limits, from the tower of the watchman to the walled town."
2 Kings,2kgs,11,17,8,2 Kings Chapter 18 Verse 9,2kgs_18_9,https://en.wikipedia.org/wiki/Bible,"Now in the fourth year of King Hezekiah, which was the seventh year of Hoshea, son of Elah, king of Israel, Shalmaneser, king of Assyria, came up against Samaria, shutting it in with his armies."
2 Kings,2kgs,11,17,9,2 Kings Chapter 18 Verse 10,2kgs_18_10,https://en.wikipedia.org/wiki/Bible,"And at the end of three years they took it; in the sixth year of Hezekiah's rule, which was the ninth year of Hoshea, king of Israel, Samaria was taken."
2 Kings,2kgs,11,17,10,2 Kings Chapter 18 Verse 11,2kgs_18_11,https://en.wikipedia.org/wiki/Bible,"And the king of Assyria took Israel away as prisoners into Assyria, placing them in Halah and in Habor on the river Gozan, and in the towns of the Medes;"
2 Kings,2kgs,11,17,11,2 Kings Chapter 18 Verse 12,2kgs_18_12,https://en.wikipedia.org/wiki/Bible,"Because they did not give ear to the voice of the Lord their God, but went against his agreement, even against everything ordered by Moses, the servant of the Lord, and they did not give ear to it or do it."
2 Kings,2kgs,11,17,12,2 Kings Chapter 18 Verse 13,2kgs_18_13,https://en.wikipedia.org/wiki/Bible,"Now in the fourteenth year of king Hezekiah, Sennacherib, king of Assyria, came up against all the walled towns of Judah and took them."
2 Kings,2kgs,11,17,13,2 Kings Chapter 18 Verse 14,2kgs_18_14,https://en.wikipedia.org/wiki/Bible,"And Hezekiah, king of Judah, sent to Lachish, to the king of Assyria, saying, I have done wrong; give up attacking me, and whatever you put on me I will undergo. And the payment he was to make was fixed by the king of Assyria at three hundred talents of silver and thirty talents of gold."
2 Kings,2kgs,11,17,14,2 Kings Chapter 18 Verse 15,2kgs_18_15,https://en.wikipedia.org/wiki/Bible,"So Hezekiah gave him all the silver in the house of the Lord, and in the king's store-house."
2 Kings,2kgs,11,17,15,2 Kings Chapter 18 Verse 16,2kgs_18_16,https://en.wikipedia.org/wiki/Bible,"And at that time Hezekiah had the gold from the doors of the Lord's house, and from the door-pillars plated by him, cut off and gave it to the king of Assyria."
